Time	Actual Torque	Actual Velocity
265.5	0.00237	0.00697434
266	0.00237	0.00950855
266.5	0	-0.0236457
267	0	-0.0286723
267.5	0.00237	0.0366938
268	0	-0.00818908
268.5	0	-0.0456892
269	0.00237	0.00681726
269.5	0.00237	0.0078854
270	0.00237	-0.0195617
270.5	0	-0.0137497
271	0	-0.00871268
271.5	0.00237	0.0219911
272	0	-0.00671254
272.5	0	-0.0125454
273	0.00237	0.0315625
273.5	0.00237	0.00472286
274	0	-0.0315625
274.5	0	0.0154881
275	0	-0.00351858
275.5	0.00237	0.00761313
276	0.00237	-0.00352906
276.5	0	0.00770737
277	0.00237	0.00111003
277.5	0	0.0333951
278	0	0.0406941
278.5	0.00237	-0.0180013
279	0	0.0255516
279.5	0	-0.0236248
280	0.00237	0.0197083
280.5	0	0.000785398
281	0	0.000178024
281.5	0	-0.0245673
282	0	0.0422021
282.5	0.00237	0.0114354
283	0	0.00688009
283.5	0	-0.00963422
284	0.00237	-0.0117705
284.5	0.00237	-0.0109642
285	0	-0.0124512
285.5	0.00237	-0.00238761
286	0	0.0272481
286.5	0.00237	0.0130167
287	0.00237	-0.0046705
287.5	0.00237	0.0232897
288	0	-0.0127235
288.5	-0.00237	-0.0277926
289	0	-0.0295833
289.5	0.00237	0.0303268
290	0	0.00543496
290.5	0	-0.020724
291	0.00237	0.00523599
291.5	0.00237	-0.00731991
292	0.00237	0.0410816
292.5	0	0.00640885
293	0.00237	0.0466317
293.5	0	0.016242
294	0	-0.0114354
294.5	0	0.0151215
295	0	-0.0119695
295.5	0.00237	0.0084823
296	0.00237	0.00975988
296.5	0	0.00107861
297	0.00237	-0.00536165
297.5	0	-0.0101369
298	0	0.00553968
298.5	0.00237	-0.0139591
299	0.00237	0.00912109
299.5	0.00237	0.0255726
300	0.00237	0.00844041
300.5	0.00237	0.0179385
301	0.00237	-0.0110689
301.5	0	0.0162839
302	0.00237	0.0168808
302.5	0	-0.0409454
303	-0.00237	-0.00107861
303.5	0	0.0104301
304	0.00237	-0.0109118
304.5	0	0.0277403
